address,title,alt title,first appearance month,first description,latest apperance month,latest description,permit category,permitted units,max density,parcel size,site status,identified in last 2 cycles
"335 Burnett Ave, Santa Clara, CA 95051",334 Bry ant Avenue,,2015-6,"Request for a Preliminary Parcel Map to subdivide a 0.9-acre lot into four single- family lots, a Planned Unit Development Permit and a Development Review Permit to construct four new single-family homes replacing one existing single-family home, and a Heritage Tree Removal Permit to remove three Heritage trees. The project is located on the north side of Bryant Avenue near Stacey Court. Status/Next Steps: Incomplete; awaiting revisions. Planning Area: Grant/Sylvan Project Planner: Mariya Hodge Applicant: Kanu Patel Attachment:  June 2015 – Planning Division Update Map",2015-6,"Request for a Preliminary Parcel Map to subdivide a 0.9-acre lot into four single- family lots, a Planned Unit Development Permit and a Development Review Permit to construct four new single-family homes replacing one existing single-family home, and a Heritage Tree Removal Permit to remove three Heritage trees. The project is located on the north side of Bryant Avenue near Stacey Court. Status/Next Steps: Incomplete; awaiting revisions. Planning Area: Grant/Sylvan Project Planner: Mariya Hodge Applicant: Kanu Patel Attachment:  June 2015 – Planning Division Update Map",no permit,0,,,,
"340 E Middlefield Rd, Mountain View, CA 94043",340 East Middlefield Road,E-Health ,2013-5,"In June 2012, the Zoning Administrator approved a new two-story, 17,740 square foot (0.35 FAR) office building for “E-Health.” Construction is underway. Completion is expected by October 2013. ",2013-8,"In June 2012, the Zoning Administrator approved a new two- story, 17,740 square foot (0.35 FAR) office building for “E-Health.” Construction began in February 2013 and c ompletion is expected by October 2013. ",no permit,0,,,,
"344 Bryant Ave, Mountain View, CA 94040",344 Bryant Avenue,,2017-2,"Request for a Preliminary Parcel Map to subdivide a 0.9-acre lot into four single- family lots, a Planned Unit Development Permit and a Development Review Permit to construct four new single-family homes replacing one existing single-family home, and a Heritage Tree Removal Permit to remove three Heritage trees. The project is located on the north side of Bryant Avenue near Stacey Court. 22, 2017.",2019-10,"On February 22, 2017, the Zoning Administrator approved a Planned Unit Development Permit and a Development Review Permit to construct four new single-family homes and a Heritage Tree Removal Permit to remove three Heritage trees on a 0.92-acre project site. The project is located on the north side of Bryant Av enue near Stacey Court.",no permit,0,,,,
"360 S Shoreline Blvd, Mountain View, CA 94041",360 South Shoreline Boulevard,Mountain View Academy ,2017-2,"Request for a r ezon e from R1 (Single-Family) to P (Planned Community) district, and a Planned Community Permit to construct three buildings with seven apartment units total for staff housing, a Heritage Tree Re moval Permit to remove six Heritage trees, and a Preliminary Parcel M ap to create two parcels from the existing four parcel s on a 2.95 acre school site (Mountain View Academy). San Antonio/Rengstorff/Del Medio Planning Area",2020-5,Request for a Zoning Map Amendment from R1 (Single-Family Residential) district to P (Planned Community) district; a Planned Community Permit to construct seven apartment units for staff housing; a Heritage Tree Removal Permit to remove 6 Heritage trees; and a Parcel Map to create two parcels from the existing four parcels on a 2.95-acre project site. The project is located on the northwest corner of South Shoreline Boulevard and California Street in the R1 (Single-Family Residential) district.,no permit,0,,,,
"365 San Antonio Rd, Mountain View, CA 94040",365 - 405 San Antonio Road and 2585  - 2595 California Street (San Antonio Center Phase,San Antonio Center Phase III,2022-2,"III) Request for Amendments to the San Antonio Precise Plan, a Master Plan, a Planned Community Permit and Development Review Permit for a new 7-story, 182,352 square foot commercial building with 150,000 square f eet of Transfer of Development Rights (TDR) from the Los Altos School District TDR Program; a Provisional Use Permit to allow an office use; a Heritage Tree Removal Permit to remove five Heritage trees; a Development Agreement to extend entitlements for 7 years; and a Lot Line Adjustment to remove one lot line to combine two parcels into one parcel on a 0.99-acre project site. This project is located on the southeast corner of San Antonio Road and California Street in the P-40 (San Antonio) Precise Plan.",2023-2,"Request for Amendments to the San Antonio Precise Plan, a Master Plan, a Planned Community Permit and Development Review Permit for a new 7-story, 182,352 square foot commercial building with 150,000 square f eet of Transfer of Development Rights (TDR) from the Los Altos School District TDR Program and a shared parking reduction; a Provisional Use Permit to allow an office use; a Heritage Tree Removal Permit to remove five Heritage trees; a Development Agreement to extend entitlements for 7 years; and a Lot Line Adjustment to remove one lot line to combine two parcels into one pa rcel on a 0.99-acre project site. This project is located on the southeast corner of San Antonio Road and California Street in the P-40 (San Antonio) Precise Plan.",no permit,0,,,,
"365 Villa St, Mountain View, CA 94041",365 Villa Street,Classic Communities ,2013-5,"In July 2012, Council approve d a new 12 small-lot, single-family subdivision. Building permits were submitted in January 2013 and demolition of the existing site may begin in summer 2013. ",2014-8,"In July 2012, the City Council approved a 12 sma ll-lot, single-family subdivision with a new private street on a 1.2 acre (52,292 sq. ft.) project site. Status/Next Step(s): Approved. Construction started in October 2013 and is expected to be completed in late summer 2014. The units are currently for sale. Planning Area: Centra l Neighborhoods Project Planner: Lindsay Hagan",no permit,0,,,,
"369 N Whisman Rd, Mountain View, CA 94043",369 North Whisman Road, The Quad / Lovewell ,2013-5,"In September 2011, Council approved 180,800 square feet of additional office area and a 10 year Development Agreement for Keenan Lovewell. Google is occupying the existing site. The prope rty owner has not indicated if they will proceed with the additional buildings. ",2022-8,"In September 2011, City Council approved a 10-year Development Agreement; a Transit Oriented Development Permit and Planned Unit Development Permit to construct a three-story 70,846 square foot office building, a four-story, 109,927 square foot office building, and two, 4-level parking structures with a parking reduction of 143 spaces on a 29.3-acre project site with seven existing office buildings; a Heritage Tree Removal Permit to remove 22 Heritage trees; and a Tentative M ap to create 13 parcels. The project is located on the east side of North Whisman Road, north of East Middlefield Road.",no permit,0,,,,
"383 Castro St, Mountain View, CA 94041",383 Castro Street,,2018-1,"Request for a Planned Community Permit and Development Review Permit to construct a 33,801 square foot commercial building with 25,090 square feet of office over 8,701 square feet of retail to replace a 1,900 square foot restaurant (Bierhaus) on a 0.26 acre project site. The project is located on the northeast corner of Castro Street and California Street in the P-19 (Downtown) Precise Plan.",2018-9,"Request for a Planned Community Permit and Development Review Permit to construct a 33,801 square fo ot commercial building with 25,090 square feet of office over 8,701 square feet of retail to replace a 1,900 square foot restaurant (Bierhaus) on a 0.26 acre project site. The project is located on the northeast corner of Castro Street and California Stree t in the P- 19 (Downtown) Precise Plan.",no permit,0,,,,
"390 Moffett Blvd, Mountain View, CA 94043",390 Moffett Blvd.,Hampton Inn A ddition ,2014-2,"In January 2014, Hampton Inn and Suites applied for permits to expand their 87 room hotel at 330 Moffett Blvd. by purchasing 390 Moffett Blvd and adding 21 rooms. The Zoning Administrator will make a final action on the project later in 2014. ",2016-8,"In March 2014, the Zoning Administrator approved an application by Hampton In n and Suites to allow an 11,630 square foot, 21 room addition to an existing 52,707 square foot, 87 room hotel (Hampton Inn and Suites), a parking reduction of 18 spaces (93 from the required 111), and a Heritage Tree Remov al Permit to remove 1 Heritage t ree on a 1.34 acre project site. Expansion was made possible when the hotel owner purchasing the adjacent parcel at 330 Moffett Blvd.",no permit,0,,,,
"394 Ortega Ave, Mountain View, CA 94040",394 Ortega Avenue,,2015-8,"In July 2015, Anton Development Company submitted a request for informal review of a 5-story, 190-unit apartment building with 2 levels of underground parking to replace a single family home and accessory structures. The 2.04-acre project site is on the southwest corner of California S treet and Ortega Avenue in the San Antonio Precise Plan area. Status/Next Step(s): Informal Review Planning Area: San Antonio Project Planner: Eric Anderson Applicant: Anton Development Company",2020-5,"On September 20, 2016, the City Council approved a Planned Community Permit and Development Review Permit for a 4-story, 144-unit apartment buildi ng with 2 levels of underground parking to replace a single-family home and accessory structures on a 1.62- acre project site. The project is located on the southwest corner of Ortega Avenue and California Street in the P-40 (San Antonio) Precise Plan.",no permit,0,,,,
"400 Logue Ave, Mountain View, CA 94043",400 Logue Avenue,,2019-2,Request for a Development Review Permit and Los Altos School District Transfer of Development Rights square footage for a new residential development totaling 367 units across two buildings on a 2.65-acre project site. This project is located on the west side of Logue Avenue between Maude Avenue and Bayshore Freeway in the ML-T (Limited Industrial Transit Oriented-Office) district.,2023-2,"On June 22, 2021, City Council approved a Planned Community Permit and Development Review Permit for an 8-story, 408-unit residential development, a 36,000 square feet Transfer of Development Rights from the Los Altos School District TDR Program, and a Heritage Tree Removal Permit to remove 5 Heritage trees, replacing a 42,000 square foot office building, on a 2.54-acre project site. This project is located on the west side of Logue Avenue at the terminus of Maude Avenue in the P-41 (East Whisman) Pr ecise Plan. Project is subject to SB 330.",5 or More Units Per Structure,0,,,,
"400 Pacific Dr, Mountain View, CA 94043",400 Pacific Dr .,Antenna Farm ,2018-1,"On October 28, 2014 the City Council approved a Precise Plan A mendment to the Whisman Station Precise Plan to allow small-lot single-family homes where rowhomes are required and a Planned Community Permit and Development Review Permit for 16 small-lot si ngle-family homes on a vacant 2-acre project site. The project i s located at the terminus of Pacific Drive adjacent to the VTA Light Rail Station parking lot in the P-35 (Whisman Station) Precise Plan.",2018-3,"On October 28, 2014 the City Council approved a Precise Plan A mendment to the Whisman Station Precise Plan to allow small-lot single-family homes where rowhomes are required and a Planned Community Permit and Development Review Permit for 16 small-lot si ngle-family homes on a vacant 2-acre project site. The project is located at the terminus of Pacific Drive adjacent to the VTA Light Rail Station parking lot in the P-35 (Whisman Station) Precise Plan.",Single-Family Detached Unit,0,,,,
"400 San Antonio Rd, Mountain View, CA 94040",400 San Antonio Rd.,,2015-10,"Informal review of a request for a Planned Community Permit to construct 605 apartment units, in two 5-story buildings and one 7-story building and 9,200 square feet of commercial to replace 7 existing retail, office and industrial buildings totaling approximately 80,670 square feet on a 5.7 acre site, on the west side of San Antonio Road between Fayette Drive and Miller Avenue in the P-40 (San Antonio Center) Precise Plan. 2015. Informal review of the plans is scheduled for DRC in November 2015.",2020-5,"On September 27, 2016, the City Council approved a Planned Community Permit and Development Review Permit to construct 583 apartment units and 11, 171 square feet of ground floor commercial space in two, five-story and one, seven-story building s with underground parking to replace seven existing retail, office, and industrial buildings, including a 35% State D ensity Bonus; a Heritage Tree Removal Permit to remove 59 Heritage trees; and a Preliminary Parce l Map to combine five existing parcels into two parcel s on a 5.7-acre project site. The project is located on the west side of San Antonio Road between Fayette Drive and Miller Avenue in the P-40 (San Antonio) Precise Plan.",5 or More Units Per Structure,0,,,,
"405 S San Antonio Rd, Mountain View, CA 94040",405 San Antonio Road,Merlone Geier Partners (MGP) Phase II ,2013-5,"In December 2011, Counc il authorized a Gatekeeper request by Merlone Geier Partners (MGP) for a mixed-use development consisting of office, retail, and hotel uses on 9.9 acres in the San Antonio Shopping Center. MGP submitted revised plans in February 2013 for a mixed-use devel opment consisting of office, retail, cinema and hotel, with reduced office area and building heights. A project EIR and General Plan Subsequent EIR will be necessary for the project. Council held a study session in April 2013 and MGP is refining their pr oject for DRC review. The project and traffic analysis will be brought to a second round of study sessions in the latter half of 2013. (San Antonio Planning Area) ",2019-6,"In December 2014, the City Council approved a mixed-use development on 9.9-acre project site consisting of office (360,909 square f eet), retail/commercial (107,835 square feet), cinema (approx. 1,410 seats) and hotel (167 rooms) uses totaling approximately 1,080,800 square feet at the San Antonio Center.",no permit,0,,,,
"410 Sierra Vista Ave, Mountain View, CA 94043",410-414 Sierra Vista Avenue ,,2017-6,"Planned Unit Development, Development Review Permit, and Tentative Map for a new 14-unit rowhouse development on a 0.84 acre project site. The project is located on the west side of Sierra Vista Avenue between San Luis Avenue and S an Ramon Avenue in the R3-2.2 (M ultiple-Family Residential) district.",2023-2,"On July 8, 2020, the Zoning Administrator and Subdivision Committee jointly approved a one-year Permit Extension for a Planned Unit Development and Development Review Pe rmit to construct a 14-unit rowhouse development on a 0.84-acre project site; a Heritage Tree Removal Permit to remove three Heritage trees; and a Tentative Map to create 14 residential lots and one common lot. The project is located on the west side of Sierra Vista Avenue between San Luis Avenue and Sa n Ramon Avenue in the R3-2.2 (Multiple-Family Residential) district.",Single-Family Attached Unit,1,,,,
"412 W El Camino Real, Mountain View, CA 94040",412 El Camino Real W.,Medical Build ing ,2014-2,"In December 2013, an application was subm itted for a new 8,700 square foot medical building to replace a vacant fast food re staurant and used car lot. A formal application is expected in March 2014. ",2015-10,"In May 2014, the Zoning Administrator approved a request for a new 8,582 square foot medical office building on a 24,484 square foot lot. An appeal was filed in June 2014, but was withdrawn in September 2014. The project involves the remov al of two small, vacant commercial structures and one Heritage tree.",no permit,0,,,,
"415 E Middlefield Rd, Mountain View, CA 94043",355-415 East Middlefield Road ,,2018-9,"Request for a General Plan Amendment, Zoning Map Amendment, and Planned Community and Development Review Permits to allow up to 448 new attached residential housing units with structured parking and a new 0.4 acre park to be dedicated to the City, a Vesting Tentative Map to subdivide the site into up to 12 lots (for condominium purposes) an d a Heritage Tree Removal Permit on a 6.0-acre project site. The project is located on the south side of East Middlefield Road between Ellis Street and North Whisman Road in the ML (Limited Industrial) district.",2022-2,"On May 5, 2020, City Coun cil approved a Planned Community Permit, Development Review Permit to construct two, 7-story multi-family buildings with 463 new housing units (157 condominiums and 270 apartments) with 3-levels of structured parking and 36 townhomes with attached garages, a 10,000 square f eet of Transfer of Development Rights from the Los Altos School District TDR Program, a new 0.38-acre public park; a Heritage Tree Removal Permit to remove 18 Heritage trees on a 6.0-acre project site; and a Vesting Tentative Map to subdivide the site with five residential lots, three common lots, and a new public park. The project is located on the south side of East Middlefield Road between Ellis Street and North Whisman Road in the P-41 (East Whisman) Precise Plan.",5 or More Units Per Structure,0,,,,
"420 San Antonio Rd, Mountain View, CA 94040",420 San Antonio Road,Prometheus  ,2013-5,"In January 2013, Council authorized a Gatekeeper request by the Pillar Group to study a high-density apartment project with a 1.85 FAR on 4.6 acres. Formal review of this Gatekeeper will start in July 2013. ",2015-9,"Request for a Planned Community Permit to construct a 373-unit, 4-story apartment building with 10,000 square feet of ground floor retail to replace 7 existing retail, office and industrial buildings totaling approximately 80,670 square feet on a 5.7 acre site, on the west side of San Antonio Road between Fayette Drive and Miller Drive. adopted in December 2014. The applicant has re submitted plans for a higher density project (State Density Bonus) for review.",no permit,0,,,,
"445 Calderon Ave, Mountain View, CA 94041",445 Calderon Ave.,Mountain View Co -Housing Community ,2013-10,"In September 2011, Council approved a 19-unit co-housing project on 1.2 acres, which included the relocation and modification to a historic home. Construction is expected to be complete in 2014. (Stephanie Williams) Miramonte/Springer Planning Area",2015-11,"In September 2011, the City Council approved a Planned Unit Development Permit, Development Review Permit, Tentative Subdivision Map, Historic Preservation Permit and Heritage Tree Removal Permit to construct a three-story, 19-unit co- housing project and relocation and improvement to a historic home on site. early 2016. Miramonte/Springer Planning Area",no permit,0,,,,
"45 W El Camino Real, Mountain View, CA 94040",45 W. El Camino Real,,2022-6,"On June 12, 2019, the Zoning Administrator approved a Planned Community Permit and Development Review Permit for the redevelopment of the existing service station with a new service station and convenience store, Provisional Use Permit to allow a service s tation use, and Heritage Tree Removal Permit for the removal of three Heritage trees on a 0.64 acre project site; and a determination that the project is categorically exempt pursuant to Section 15302 of the CEQA Guidelines (""Replacement or Reconstruction""). This project is located at the southwest corner of Grant Road and West El Camino Real in the P-38 (El Camino Real) Precise Plan.",2022-12,"On June 12, 2019, the Zoning Administrator approved a Planned Community Permit and Development Review Permit for the redevelopment of the existing service station with a new service station and convenience store, Provisional Use Permit to allow a service s tation use, and Heritage Tree Removal Permit for the removal of three Heritage trees on a 0.64-acre project site. This project is located at the southwest corner of Grant Road and West El Camino Real in the P-38 (El Camino Real) Precise Plan.",no permit,0,,,,
"450 N Whisman Rd, Mountain View, CA 94043",450 North Whisman Drive,Hetch -Hetchy Property ,2013-5,"In August 2012, SummerHill Homes submitted informal plans for a 37-unit two- story detached rowhouse project on a 6.4-acre site owned by t he San Francisco PUC in the R2 district. SummerHill held a neighbor meeting on March 9 and received feedback from the neighborhood. A formal application was submitted in April 2013. A Council public hearing is expected in early 2014. (Scott Plambaeck)",2018-7,"On November 12, 2014 the City Council approved a Planned Unit Development Permit and Development Review Permit for a 37-unit rowhouse development and a public trail on a vacant 6.4 acre project site. The proje ct is located on North Whisman Road between Whisman Court and Walker Drive in the R-2 (Two-Family Residential) district.",Single-Family Detached Unit,0,,,,
"455 San Antonio Rd, Mountain View, CA 94040",455 San Antonio Road,Merlone Geier Partners (MGP) Phase I ,2013-5,"In June 2011, Council approved a project to construct 330 apartment units, a 65,000 square foot Safeway building and three retail tenant buildings totaling 26,200 square foot for MGP. T he Safeway opened in A pril 2013, and the remainder of the apartments and retail spaces will obtain final occupancy through the beginning of 2014. (San Antonio Planning Area) ",2013-12,"In June 2011, Council approved 330 apartment units, a 65,000 square foot Safeway building and 69,000 square feet of restaurant and retail space. The Safeway opened in April 2013, and the remainder of the apartments and retail spaces will obtain final occupancy through the beginning of 2014. ",no permit,0,,,,
"460 N Shoreline Blvd, Mountain View, CA 94043",460 North Shoreline Boulevard,Shorebreeze Apartments ,2017-2,"Request for a Planned Community Permit to allow an amendment to the P-5 (460 N. Shoreline Boulevard) Precis e Plan to demolish 12 affordable townhome units and replace them with 62 affordable units (21 studios, 21 one-bedroom s, 8 two- bedroom s, and 12 three-bedroom s), Heritage Tree Removal Permit to remove 35 trees (18 Heritage). This property is located on the west side of North Shoreline Boulevard between Montecito Avenue and Wright Avenue in the P-5 (460 North Shoreline Boulevard) Precise Plan. Moffett/Whisman Planning Area",2020-5,"On January 30, 2018, the City Council approved a Precise Plan Amendment to the P-5 (460 Shoreline Boulevard) Precise Plan, a Planned Community Permit and Development Review Permit to construct 62 affordable units in an existing affordable housing community (Shorebreeze Apartments) to replace 12 affor dable units, and a Heritage Tree Removal Permit for the removal of 22 Heritage t rees on a 3.4-acre project site. The project is located on the west side of North Shoreline Boulevard between Montecito Avenue and Wright Avenue in the P-5 (460 Shoreline Boulevard) Precise Plan.",5 or More Units Per Structure,0,,,,
"465 Fairchild Dr, Mountain View, CA 94043",465 Fairchild  Drive,,2019-2,"Request for a Development Review Permit and Los Altos School District Transfer of Development Rights square footage for a new 259,595 square foot, six-story office building and a seven-story garage, replacing an existing two-story office on a 4.45-acre project site. This project is located on the southwest corner of Fairchild Drive and Ellis Street in the ML- T (Limited Industrial – Transit Oriented) district.",2020-5,"Request for a Planned Community Permit and Development Review Permit for a new 6- story, 259,595 square foot office building and a seven-level parking garage replacing an existing two-story office, a Los Altos School District Transfer of Development Rights for 80,000 square feet, and a Heritage Tree Removal Per mit to remove 13 Heritage Tree on a 4.45- acre project site. This project is located on the southwest corner of Fairchild Drive and Ellis Street in the P-41 (East Whisman) Precise Plan.",no permit,0,,,,
"500 Ellis St, Mountain View, CA 94043",500 and 550 Ellis Street,,2022-6,"Request for a Planned Community Permit and Development Review Permit to construct a 6-story, 169,647 square-foot hotel with 201 guest rooms and a 2-story, 37,611 square-foot office building, and a Heritage Tree Removal Permit to remove 20 Heritage Trees, r eplacing two commercial office buildings, on a 2.16-acre site. This project is located on the west side of Ellis Street between National Avenue and Fairchild Drive in the P-41 (East Whisman) Precise Plan.",2023-2,"Request for a Planned Community Permit and Development Review Permit to construct a 6-story, 168,849 square-foot hotel with 201 guest rooms and a 2-story, 37,611 square-foot office building, and a Heritage Tree Removal Permit to remove 14 Heritage Trees, replacing two commercial office buildings, on a 2.16-acre site. This project is located on the west side of Ellis Street between National Avenue and Fairchild Drive in the P-41 (East Whisman) Precise Plan.",no permit,0,,,,
"500 Ferguson Dr, Mountain View, CA 94043",500 Ferguson Drive ,,2015-10,"In June 2015, the City Council approved a Planned Community Permit for 394 residential apartments and 3,000 square feet of commercial space, in two four-story buildings over an und erground parking garage. The project site is located in the South Whisman Precise Plan and is part of the South Whisman Master Plan. San Antonio Planning Area",2020-5,"In June 2015, the City Council approved a Planned Community Permit and Development Review Permit to construct 394 residential apartments and 3,000 square feet of commercial space in two, four-story buildings over an underground parking garage. The project is located in the P-37 (South Whisman) Precise Plan and is part of the South Whisman Master Plan.",5 or More Units Per Structure,202,,,,
"500 Moffett Blvd, Mountain View, CA 94043",500 Moffett Boulevard,Shenandoah Square Precise Plan ,2017-2,"Request for annexation of an approximately 17-acre parcel to allow multi-family residential redevelopment; a General Plan Amendment from Medium-Low Density Residential to a designation to be determined; a Zoning Map Amendment from PRE-PF to P (Planned Community / Precise Plan); a new Precise Plan to regulate future development activities on the site; and a CEQA/NEPA determination (TBD). This property is located at the northw est corner of Moffett Boulevard and West Middlefield Road in the PRE-PF (Public Facilities) district. Plan on November 29, 2016 to provide initial input on key Precis e Plan to pics.",2018-7,"Annexation of an approximately 17-acre parcel to allow multi-family residential redevelopment; a General Plan Amendment from Medium-Low Density Residential to a designation to be determined; a Zoning Map Amendment from PRE-PF to P (Planned Commu nity / Precise Plan); and a new Precise Plan to regulate future development activities on the si te. This project is located at the northwest corner of Moffett Boulevard and West Middlefield Road in the PRE-PF (Public Facilities) district. Plan on November 29, 2016 to provide initial input on key Precis e Plan topics. Work on the new Precise Plan is on hold pending authorization to proceed from the applicant.",no permit,0,,,,
"517 Thompson Ave, Mountain View, CA 94043",517-535 Thompson Avenue,,2019-4,Request for a Planned Unit Development and Development Review Permit for a 16- unit rowhouse development and a Heritage T ree Removal P ermit to remove five Heritage trees on a 1.06- acre project site. This project is located on the east side of Thompson Avenue between Junction Avenue and Jane Lane in the R3-2.5 (Multiple-Family Residential) district.,2019-10,"Request for a Planned Unit Development and Development Review Permit to allow 16 new rowhouse s to replac e 16 apartment units, and a Heritage T ree Removal P ermit to remove five Heritage trees on a 1.06-acre project site. This project is located on the east side of Thompson Avenue between Junction Avenue and Jane Lane in the R3-2.5 (Multiple-Family Residential) district.",no permit,0,,,,
"525 E Evelyn Ave, Mountain View, CA 94041",525 East Evelyn Avenue, Flower Mart ,2013-5,"In September 2012, Council approved a 70- unit attached rowhouse project for Shea Homes adjacent to the completed Mondrian project. The second phase is integrated with the neighboring Mondrian rowhouse project. Building permits have not been submitted. ",2022-10,"On April 30, 2019, City Council approved a General Plan Amendment from General Industrial and Medium Density Residential to High Density Residential; a Zoning Map Amendment from P-30 (Sylvan-Dale) Precise Plan and R3.2-2 (Multiple-Family Residential) district to the R-4 (High-Density Residential) district; a Planned Community Permit and Development Review Permit to construct 471 new apartment units with underground parking and a new 0.68-acre public park; and a Heritage Tree Removal Permit for the removal of 13 Heritage trees on a 5.89-acre project site. The project is located on the south side of East Evelyn Avenue between Moorpark Way and South Berna rdo Avenue in the R3 (Multiple-Family Residential) district.",no permit,0,,,,
"535 Walker Dr, Mountain View, CA 94043",535 and 555 Walker Drive,,2018-5,"Request for a Planned Unit Development and Development Review Permit to construct a 58-unit rowhouse development to replace 56 existing apartment units on a 2.15 acre project site, Heritage Tree Removal Permit to remove 16 Heritage trees, and Vesting Tentative Map to create 11 rowhouse lots and four common lots. The project is located on th e south of Walker Drive between Alamo Court and Taylor Court in the R3-1 (Multiple-Family Residential) district. considered by the Zoning Administrator/Subdivision Committee on May 9, 2018 and by the City Council on June 12, 2018.",2022-2,"On June 12, 2018, City Council approved a Planned Unit Development, Development Review Permit, and Vesting Tentative Map to construct a 58-unit rowhouse development, and a",Single-Family Attached Unit,0,,,,
"555 Showers Dr, Mountain View, CA 94040",555 Showers Drive,Target ,2013-5,"In April 2013, Council authorized a Gatekeeper request by Target to study a new 158,000 two-story Target building and 22,500 square feet in ancillary retail buildings. Formal review of this Gatekeeper will start in July 2013, with an EPC study session sch eduled for August 2013 and a Council study session in fall 2013. (San Antonio Planning Area) ",2013-12,"In April 2013, Council authorized a Gatekeeper request by Target to study a new 158,000 two-story Target building and 22,500 square feet in ancillary retail buildings. Target submitted plans in mid- September 2013 and an EPC study session occurred in Octob er 2013. Target is revising their plans prior to a Council study session in early 2014. A final Council hearing is anticipated in the latter half of 2014 at the earliest. ",no permit,0,,,,
"555 W Middlefield Rd, Mountain View, CA 94043",555 West Middlefield Road,,2016-10,"Informal request for a General Plan Amendment from Medium-Density Residential to High-Density Residential, a Zoning Map Amendment from P to R4 (High Density), and a Development Review Permit to allow a 341-unit addition to an existing 402-unit residential development with three new underground garages, a new leasing office for the entire development, and a 1.48-acre public park (dedicated to the City) on a 14.5-acre site. The project site is located on the south side of West Middlefield Road between Moffett Boulevard and Highway 85 in the P (Planned Community) district.",2023-2,"On May 10, 2022, City Council approved a General Plan Map and Text Amendment from Medium- Density Residential to High-Low Density Residential; a Planned Community Permit and a Development Review Permit to allow a 323-unit addition to an existing 402-unit residential apartment development with t hree new subterranean garages, a new amenity building/leasing office, and a future 1.34-acre public park; a Heritage Tree Removal Permit to remove 57 Heritage trees and relocate 39 trees; a Vesting Tentative Map to create three lots with up to 111 condomin ium units on a 14.5-acre project site. The project is located on the south side of West Middlefield Road between Moffett Boulevard and Highway 85 in the P (Planned Community) district. Project is subject to SB 330.",no permit,0,,,,
"555 Walker Dr, Mountain View, CA 94043",555 Walker Drive,,2018-1,"Request for a Planned Unit Development and Development Review Permit to construct a 58-unit rowhouse development to replace 56 existing apartment units on a 2.15 acre project site, Heritage Tree Removal Permit to remove 20 Heritage trees, and Vesting Tentative Map to create 11 rowhouse lots and four common lots. The project is located on the sout h of Walker Drive between Alamo Court and Taylor Court in the R3-1 (Multiple-Family Residential) district.",2018-3,"Request for a Planned Unit Development and Development Review Permit to construct a 58-unit rowhou se development to replace 56 existing apartment units on a 2.15 acre project site, Heritage Tree Removal Permit to remove 16 Heritage trees, and Vesting Tentative Map to create 11 rowhouse lots and four common lots. The project is located on the south of W alker Drive between Alamo Court and Taylor Court in the R3-1 (Multiple-Family Residential) district.",Single-Family Attached Unit,0,,,,
"570 S Rengstorff Ave, Mountain View, CA 94040",570 South Rengstorff  Avenue,,2020-3,Request for a P lanned Unit Development Permit and Development Review Permit to construct 85 rowhouses to replace 70 existing apartment units on a 4.07-acre project site; a Heritage Tree Removal Permit to remove 29 Heritage trees; and a Vesting Tentative Map for condominium purposes for 85 rowhome units and one common lot. This project is located on the northwest corner of Latham Street and South Rengstorff Avenue in the R3-1.25 (Multiple-Family Residential) district.,2023-2,"On September 14, 2021, City Council approved a Planned Unit Development Permit and Development Review Permit to construct 85 rowhouses, replac ing 70 existing apartment units, on a 4.07-acre project site; a Heritage Tree Removal Permit to remove 29 Heritage trees; and a Vesting APPROVED DEVELOPMENT PROJECTS Tentative Map to create eleven lots and seven common lots on 4.07-acre site. Th e project i s located on the northwest corner of Latham Street and South Rengstorff Avenue in the R3-1.25 (Multiple- Family Residential) district.",Single-Family Attached Unit,0,,,,
"574 Escuela Ave, Mountain View, CA 94040",574 Escuela Avenue,Senior Assisted Living ,2013-5,"In January 2013, Council approved a 44 bed assisted living project. Building permits are expected in summer 2013. ",2016-10,"In January 2013, the City Council approved a Zoning Text Amendment, Conditional Use Permit, Planned Unit Development Permit and Heritage Tree Removal permit to allow 44 senior assisted living beds, in a two-story, senior assisted-living project to replace an existing multi-family building on a 0.55 acres project site. Miramonte/Springer Planning Area",no permit,0,,,,
"575 E Middlefield Rd, Mountain View, CA 94043",575 East Middlefield Road,Symantec ,2013-5,"In February 2010, Council approved a 102,000 square feet office building and eight year Development Agreement for Verisign. Verisign was subsequently acquired by Symantec. The applicant has not submitted a building permit to construct the approved building. ",2018-1,"In February 2010 the City Council approved a Transit Oriented Development Permit to construct a 102,419 sq. ft., four-story office building on a 10.7-acre site (0.5 FAR) with three existing office buildings and a request for a H eritage tree permit to remo ve 21 heritage trees. The approval includes upgrades to the existing parking lot and landscaping, a parking reduction of 62 spaces or 7.9 percent of the total required parking, a parcel map to create condominium parcels for the buildings, and an 8-year Development Agreement. This property is located on the south side of East Middlefield Road between Ellis Street. vested through February 2018. The applicant applied for an amendment to the Development Agreement (DA) which was approved by Council in May of 2015.",no permit,0,,,,
